Date,Drought Proofing
1998-12-31,0.9488
1999-12-31,0.927225
2000-12-31,0.909622
2001-12-31,0.928195
2002-12-31,0.913298
2003-12-31,0.877362
2004-12-31,0.886938
2005-12-31,0.956317
2006-12-31,0.96364
2007-12-31,0.912163
2008-12-31,0.962341
2009-12-31,0.982086
2010-12-31,0.991273
2011-12-31,0.92872
2012-12-31,0.918913
2013-12-31,0.940625
2014-12-31,0.855543
2015-12-31,0.846118
2016-12-31,0.770429
2017-12-31,0.748051
