Date,Rain(mm),Runoff(mm),Recharge(mm),ET(mm),water_year
1998-01-31,2.10163,0.0,0,0,1998
1998-02-28,19.6382,0.22626430801248704,0.170135,0,1998
1998-03-31,0.653175,0.0,0.0505175,0,1998
1998-04-30,30.1301,0.2424260442990933,1.20321,0,1998
1998-05-31,20.6741,0.0,0.170135,0,1998
1998-06-30,55.0689,0.24242604429909287,1.53548,0,1998
1998-07-31,94.3018,0.2505069124423964,1.02335,0,1998
1998-08-31,111.494,0.0,0.0535438,126.547,1998
1998-09-30,251.924,73.1379674060639,54.2371,207.503,1998
1998-10-31,276.045,140.89332082084994,73.2402,209.906,1998
1998-11-30,147.842,50.01735363082089,0.892128,346.302,1998
1998-12-31,2.06554,0.0,0,218.324,1998
1999-01-31,1.51642,0.0,0,51.1215,1999
1999-02-28,0.853843,0.0,2.82289e-34,22.2075,1999
1999-03-31,5.25313,0.0,0,0,1999
1999-04-30,0.255931,0.0,0,0,1999
1999-05-31,47.5813,0.0951051479662179,0,0,1999
1999-06-30,31.0479,0.0,0,0,1999
1999-07-31,100.119,5.251488410381439,7.87639,0,1999
1999-08-31,117.664,4.748116947099581,11.8347,97.7834,1999
1999-09-30,62.2579,0.0,0,111.059,1999
1999-10-31,172.751,13.826842936683464,17.1486,187.374,1999
1999-11-30,33.8057,0.0,1.34442e-18,219.854,1999
1999-12-31,2.61692,0.0,0,182.668,1999
2000-01-31,0.05,0.0,0,45.7978,2000
2000-02-29,105.6,15.049702336154946,14.354,33.1549,2000
2000-03-31,0,0.0,0,0,2000
2000-04-30,9.67,0.0,0,0,2000
2000-05-31,50.5,0.2505069124423964,0.170135,0,2000
2000-06-30,132.53,15.970882382457534,7.87639,0,2000
2000-07-31,154.36,59.39911635456342,16.1464,0,2000
2000-08-31,343.52,159.26338573151932,34.6051,157.784,2000
2000-09-30,69.15,0.0,0,172.099,2000
2000-10-31,100.85,0.19418893527415237,2.40614,238.621,2000
2000-11-30,53.31,0.0,0,220.465,2000
2000-12-31,20.5532,0.0,0,241.913,2000
2001-01-31,9.27498,0.0,0,61.7159,2001
2001-02-28,0.867377,0.0,0,23.7346,2001
2001-03-31,4.10459,0.0,0,0,2001
2001-04-30,67.7212,19.912658855102606,7.87639,0,2001
2001-05-31,9.57678,0.0,0.170135,0,2001
2001-06-30,38.1844,0.0,0.170135,0,2001
2001-07-31,51.0843,0.250506912442396,5.44748,0,2001
2001-08-31,113.127,0.250506912442396,10.2048,108.018,2001
2001-09-30,166.008,8.33002558119855,17.1361,178.665,2001
2001-10-31,281.983,95.91179228381358,82.2179,214.958,2001
2001-11-30,105.902,32.18792893310278,10.1553,324.759,2001
2001-12-31,23.4372,0.0,0,231.801,2001
2002-01-31,62.7945,0.2505069124423964,5.04707,104.964,2002
2002-02-28,0.863952,0.0,3.13269e-18,32.3088,2002
2002-03-31,5.49002,0.0,0,0,2002
2002-04-30,6.30539,0.0,0,0,2002
2002-05-31,33.3188,0.0,0,0,2002
2002-06-30,52.6066,0.0,0,0,2002
2002-07-31,43.8053,0.20130927800307832,0,0,2002
2002-08-31,104.663,0.0,0,128.708,2002
2002-09-30,43.8544,0.0,0,109.27,2002
2002-10-31,217.984,48.60441568210117,32.5856,153.815,2002
2002-11-30,69.0296,0.2424260442990933,13.0734,303.11,2002
2002-12-31,0.341813,0.0,8.3259e-19,168.753,2002
2003-01-31,3.24,0.0,0,49.4572,2003
2003-02-28,1.9,0.0,0,22.162,2003
2003-03-31,41.62,0.25050691244239687,2.68777,0,2003
2003-04-30,11.55,0.0,0.170135,0,2003
2003-05-31,5.36,0.0,0.170135,0,2003
2003-06-30,89.72,8.502196846448303,7.87639,0,2003
2003-07-31,136.53,0.36050542722520085,7.87639,0,2003
2003-08-31,94.46,0.0,0.0405088,101.649,2003
2003-09-30,151.65,10.463197328191006,23.6603,148.576,2003
2003-10-31,179.47,48.18041242306927,28.7169,228.074,2003
2003-11-30,21.08,0.0,0.00056785,237.764,2003
2003-12-31,32.98,0.0,0,193.578,2003
2004-01-31,15.9318,0.0,1.26198e-35,67.2791,2004
2004-02-29,0.618254,0.0,0,27.8395,2004
2004-03-31,7.99954,0.0,0,0,2004
2004-04-30,43.7995,10.299400621784335,7.87639,0,2004
2004-05-31,130.607,20.814061522305067,10.2977,0,2004
2004-06-30,34.3599,0.0,0.170135,0,2004
2004-07-31,145.533,0.2505069124423951,6.78069,0,2004
2004-08-31,36.0357,0.0,0.0238793,42.6612,2004
2004-09-30,147.89,8.88676115467584,16.3285,209.597,2004
2004-10-31,190.243,10.56001342480848,36.3935,228.354,2004
2004-11-30,83.6933,4.085052006270734,29.9274,334.692,2004
2004-12-31,0,0.0,0,197.014,2004
2005-01-31,0.362949,0.0,0,46.0913,2005
2005-02-28,19.7623,0.0,0,35.9338,2005
2005-03-31,6.54616,0.0,0,0,2005
2005-04-30,11.5421,0.0,0,0,2005
2005-05-31,47.0974,0.2505069124423963,0.170135,0,2005
2005-06-30,18.3721,0.0,0.170135,0,2005
2005-07-31,109.062,1.5380288468426873,7.87639,0,2005
2005-08-31,76.81,0.0,0.0431165,104.039,2005
