water_year,Rain(mm),Runoff(mm),Recharge(mm),ET(mm)
1998,1011.94,262.0550287814741,127.016,1108.58
1999,575.723,0.8466258852934085,53.0484,872.068
2000,1040.09,188.3218468312151,130.264,1109.83
2001,871.271,147.74467364938423,131.679,1143.65
2002,641.057,30.175571845788802,65.1322,1000.93
2003,769.56,30.043192265495314,98.4153,981.26
2004,836.711,13.609815474326295,138.566,1107.44
2005,1020.81,284.2452513058132,99.7346,1103.79
2006,1054.16,354.6811223045893,100.607,1106.13
2007,1085.44,370.50775524673026,71.0563,1096.91
2008,1074.52,238.16384937106557,99.7075,1258.43
2009,803.14,68.37681475900784,92.7141,1207.72
2010,1372.47,504.33047107151015,35.7145,1433.53
2011,643.46,1.0326814364189996,71.6659,1043.93
2012,914.38,153.09814775829858,117.698,1090.5
2013,985.26,174.5048258576171,83.2416,1181.16
2014,559.76,17.809277569345962,53.2391,866.027
2015,748.13,26.85836279373556,63.734,1167.83
2016,606.77,10.998514984677279,74.4041,822.968
2017,708.05,1.0570172010437178,49.8274,1034.73
