Date,%Irr_CWR_met_Chilli,%Rf_CWR_met_Chilli,%Irr_CWR_met_Tobacco,%Rf_CWR_met_Tobacco,%Irr_CWR_met_Pulses,%Rf_CWR_met_Pulses
1998-12-31,0.984453,0,1,0.826247,0,0.851373
1999-12-31,1,0,1,0.668178,0,0.794884
2000-12-31,0.870985,0,0.971851,0.676873,0,0.864814
2001-12-31,0.858278,0,0.993534,0.806541,0,0.880734
2002-12-31,1,0,1,0.656687,0,0.741387
2003-12-31,0.837715,0,0.987676,0.686026,0,0.732069
2004-12-31,0.825095,0,0.982211,0.76674,0,0.767231
2005-12-31,1,0,1,0.783759,0,0.881556
2006-12-31,1,0,1,0.793269,0,0.908734
2007-12-31,1,0,1,0.713459,0,0.721219
2008-12-31,1,0,1,0.803665,0,0.900603
2009-12-31,1,0,1,0.853701,0,0.967211
2010-12-31,1,0,1,0.964326,0,0.974275
2011-12-31,1,0,1,0.7037,0,0.791239
2012-12-31,1,0,1,0.726722,0,0.74504
2013-12-31,1,0,1,0.755401,0,0.825498
2014-12-31,0.87443,0,0.847871,0.563019,0,0.867427
2015-12-31,0.628545,0,0.851666,0.774444,0,0.955535
2016-12-31,0.797775,0,0.70629,0.501038,0,0.819141
2017-12-31,0.641723,0,0.789398,0.615851,0,0.68736
