water_year,Rain(mm),Runoff(mm),Recharge(mm),ET(mm)
1998,1011.94,263.8255118550484,128.601,1108.58
1999,575.723,4.861418874006005,52.4025,872.068
2000,1040.09,214.91248288361874,107.238,1109.83
2001,871.271,143.82150773550154,140.898,1143.65
2002,641.057,39.737114881317275,57.2944,1000.93
2003,769.56,40.26396354938723,93.3857,981.26
2004,836.711,15.344764463578887,142.005,1107.44
2005,1020.81,283.16452950863464,107.389,1103.79
2006,1054.16,356.7715813895466,105.801,1106.13
2007,1085.44,369.68156571058114,78.3218,1096.91
2008,1074.52,238.246650420732,108.262,1258.43
2009,803.14,68.88992200605645,95.6358,1207.72
2010,1372.47,506.3274970667665,38.6813,1433.53
2011,643.46,2.843054252663012,73.3735,1043.93
2012,914.38,169.44574185586328,108.124,1090.5
2013,985.26,157.01000331550517,107.591,1181.16
2014,559.76,30.211933386943187,45.9856,866.027
2015,748.13,36.419905829264025,57.8008,1167.83
2016,606.77,20.560058020205744,70.2688,822.968
2017,708.05,1.0570172010437178,51.405,1034.73
