Date,Rain(mm),Runoff(mm),Recharge(mm),ET_WaterBalance(mm),ET_Biological(mm),water_year
1997-01-31,2.10163,0.0,0,2.1016290890000002,29.0986,1997
1997-02-28,19.6382,0.22626430801248704,0.246721,19.165193154589335,19.1219,1997
1997-03-31,0.653175,0.0,0,0.653174608,0.662846,1997
1997-04-30,30.1301,0.2424260442990933,0.608741,29.27895004879976,25.5498,1997
1997-05-31,20.6741,0.0,0.608741,20.065360977098855,22.1237,1997
1997-06-30,55.0689,0.24242604429909287,0.608741,54.21771389479976,52.7214,1997
1997-07-31,94.3018,0.2505069124423964,0.608741,93.44254840065646,89.6133,1997
1997-08-31,111.494,0.0,0.400377,111.09331490269825,109.813,1997
1997-09-30,251.924,59.53390913343122,57.3307,135.0593456406919,106.159,1997
1997-10-31,276.045,144.52044636019832,64.1539,67.37103451213724,97.6657,1997
1997-11-30,147.842,50.567238408843814,0.363639,96.91085212170753,109.897,1997
1997-12-31,2.06554,0.0,0,2.065538834,45.7619,1997
1998-01-31,2.10163,0.0,0,2.1016290890000002,10.1992,1998
1998-02-28,19.6382,0.0,6.29803e-33,19.638178769,15.7436,1998
1998-03-31,0.653175,0.0,0,0.653174608,0.656731,1998
1998-04-30,30.1301,0.2424260442990933,0.608741,29.27895004879976,16.6456,1998
1998-05-31,20.6741,0.0,0.608741,20.065360977098855,21.1821,1998
1998-06-30,55.0689,0.24242604429909287,0.608741,54.21771389479976,38.5995,1998
1998-07-31,94.3018,0.2505069124423964,0.608741,93.44254840065646,79.0341,1998
1998-08-31,111.494,0.0,0.384478,111.10921438789858,95.0432,1998
1998-09-30,251.924,59.53390913343122,52.6813,139.7087405618364,91.6767,1998
1998-10-31,276.045,201.12243422347262,3.43868,71.48428751441568,97.6657,1998
1998-11-30,147.842,50.567238408843814,0.363639,96.91085212170753,109.897,1998
1998-12-31,2.06554,0.0,0,2.065538834,45.7619,1998
1999-01-31,1.51642,0.0,0,1.516416053,9.97173,1999
1999-02-28,0.853843,0.0,0,0.853842942,3.49293,1999
1999-03-31,5.25313,0.0,0,5.253132875,5.25313,1999
1999-04-30,0.255931,0.0,0,0.255931496,0.255931,1999
1999-05-31,47.5813,0.0951051479662179,0,47.486181386033785,40.6639,1999
1999-06-30,31.0479,0.0,0,31.047911442,31.0496,1999
1999-07-31,100.119,0.2505069124423951,7.41818,92.45077755369913,73.3578,1999
1999-08-31,117.664,0.2505069124423951,16.403,101.01015866995553,73.2977,1999
1999-09-30,62.2579,0.0,0.053064,62.204830760671214,58.8363,1999
1999-10-31,172.751,0.2505069124424004,25.3881,147.11238781446664,108.501,1999
1999-11-30,33.8057,0.0,0.0314971,33.7741835143602,67.5314,1999
1999-12-31,2.61692,0.0,3.54924e-18,2.6169173050000003,40.8278,1999
2000-01-31,0.05,0.0,0,0.05,7.89081,2000
2000-02-29,105.6,1.4456440635222698,22.621,81.5334040076994,37.8455,2000
2000-03-31,0,0.0,0,0.0,6.59524,2000
2000-04-30,9.67,0.0,0,9.67,9.67,2000
2000-05-31,50.5,0.2505069124423964,0.608741,49.64075219265646,42.5069,2000
2000-06-30,132.53,1.8604608624349197,16.0213,114.64828151901298,73.4483,2000
2000-07-31,154.36,51.20228658613095,24.2912,78.86648912071232,72.7678,2000
2000-08-31,343.52,151.06895401942873,42.8196,149.63140533582856,136.081,2000
2000-09-30,69.15,0.0,0.167313,68.98268729340397,78.8144,2000
2000-10-31,100.85,0.19418893527415237,2.43864,98.21717223265165,110.375,2000
2000-11-30,53.31,0.0,5.5296e-19,53.31,67.5071,2000
2000-12-31,20.5532,0.0,0,20.553182958,62.2768,2000
2001-01-31,9.27498,0.0,0,9.274979146,14.2918,2001
2001-02-28,0.867377,0.0,0,0.867376765,3.69391,2001
2001-03-31,4.10459,0.0,0,4.104594841,4.10459,2001
2001-04-30,67.7212,6.308600582469932,16.0213,45.391319748977956,26.2686,2001
2001-05-31,9.57678,0.0,0.608741,8.968034347498856,9.58276,2001
2001-06-30,38.1844,0.0,0.608741,37.57563680809886,34.4089,2001
2001-07-31,51.0843,0.250506912442396,4.38395,46.449841586798954,31.9375,2001
2001-08-31,113.127,0.250506912442396,10.2703,102.60591821136171,82.6133,2001
2001-09-30,166.008,0.2424260442990942,21.9547,143.81087333461235,96.2608,2001
2001-10-31,281.983,119.4681794667789,53.2023,109.31286808383012,116.609,2001
2001-11-30,105.902,42.21583229132044,0.363639,63.322616673230925,97.2588,2001
2001-12-31,23.4372,0.0,0,23.437218101,56.1342,2001
2002-01-31,62.7945,0.2505069124423964,5.1238,57.42017490727773,39.8811,2002
2002-02-28,0.863952,0.0,0,0.8639515470000001,4.76996,2002
2002-03-31,5.49002,0.0,0,5.490016714,5.49002,2002
2002-04-30,6.30539,0.0,0,6.305388522,6.30539,2002
2002-05-31,33.3188,0.0,0,33.318796968,31.9145,2002
2002-06-30,52.6066,0.0,0,52.606641622,46.3077,2002
2002-07-31,43.8053,0.20130927800307832,0,43.60395406899692,35.5114,2002
2002-08-31,104.663,0.0,0,104.662531398,94.8812,2002
2002-09-30,43.8544,0.0,0,43.854427676,50.5943,2002
2002-10-31,217.984,35.00035740946849,40.5358,142.44820980211696,94.2412,2002
2002-11-30,69.0296,0.2424260442990933,11.9658,56.82142491669919,97.5804,2002
2002-12-31,0.341813,0.0,0,0.341812864,36.6079,2002
2003-01-31,3.24,0.0,0,3.24,9.84659,2003
2003-02-28,1.9,0.0,0,1.9000000000000001,4.40912,2003
2003-03-31,41.62,0.25050691244239687,0.608741,40.76075219265646,25.3593,2003
2003-04-30,11.55,0.0,0.608741,10.941259105098856,11.5649,2003
2003-05-31,5.36,0.0,0.608741,4.751259105098856,5.36,2003
2003-06-30,89.72,0.2424260442990942,11.6826,77.79501104107271,60.391,2003
2003-07-31,136.53,0.25050691244239687,7.92307,128.35642025167786,105.232,2003
2003-08-31,94.46,0.0,0.608741,93.85125910509885,79.553,2003
2003-09-30,151.65,0.24242604429909065,29.5883,121.8193013242332,81.0648,2003
2003-10-31,179.47,34.57635415043659,36.8617,108.03190007245024,115.105,2003
2003-11-30,21.08,0.0,0.130613,20.949387348672012,63.7974,2003
2003-12-31,32.98,0.0,0,32.98,50.8521,2003
2004-01-31,15.9318,0.0,0,15.931787743,22.589,2004
2004-02-29,0.618254,0.0,0,0.6182539671,4.92368,2004
2004-03-31,7.99954,0.0,0,7.999540581,6.54215,2004
2004-04-30,43.7995,0.24242604429909065,12.4742,31.08294029029624,18.2213,2004
2004-05-31,130.607,12.604607143610128,18.4426,99.56011403325833,72.3004,2004
2004-06-30,34.3599,0.0,0.608741,33.75120077319885,33.5416,2004
2004-07-31,145.533,0.2505069124423951,6.22411,139.05867427020357,110.774,2004
2004-08-31,36.0357,0.0,0.467894,35.56777835128073,38.8425,2004
2004-09-30,147.89,0.24242604429909065,14.7883,132.85930699024703,117.824,2004
2004-10-31,190.243,0.25050691244239687,41.2438,148.7483951805195,111.693,2004
2004-11-30,83.6933,6.160727695224361,28.0355,49.49709614662494,105.289,2004
2004-12-31,0,0.0,0,0.0,40.9986,2004
2005-01-31,0.362949,0.0,0,0.362949038,8.12353,2005
2005-02-28,19.7623,0.0,0,19.762322291,16.7246,2005
2005-03-31,6.54616,0.0,0,6.546157094,6.54637,2005
2005-04-30,11.5421,0.0,0,11.542147062,11.5421,2005
2005-05-31,47.0974,0.2505069124423963,0.463529,46.383332544132635,38.0852,2005
