Date,Rain(mm),Runoff(mm),Recharge(mm),ET_WaterBalance(mm),ET_Biological(mm),water_year
2003-04-30,11.55,0.0,0.510406,11.039594172736733,11.5649,2003
2003-05-31,5.36,0.0,0.510406,4.849594172736733,5.36,2003
2003-06-30,89.72,0.2424260442990942,13.8702,75.60733364767364,60.391,2003
2003-07-31,136.53,0.25050691244239687,7.85975,128.41973956816085,105.232,2003
2003-08-31,94.46,0.0,0.479639,93.98036104846304,79.553,2003
2003-09-30,151.65,0.24242604429909065,30.2635,121.14412405022378,81.0648,2003
2003-10-31,179.47,29.057326352012335,44.4697,105.94300457668692,115.105,2003
2003-11-30,21.08,0.0,0.0715093,21.008490736320464,63.7974,2003
2003-12-31,32.98,0.0,0,32.98,50.8521,2003
2004-01-31,15.9318,0.0,0,15.931787743,22.589,2004
2004-02-29,0.618254,0.0,0,0.6182539671,4.92368,2004
2004-03-31,7.99954,0.0,0,7.999540581,6.54215,2004
2004-04-30,43.7995,0.24242604429909065,14.5631,28.994044794532897,18.2213,2004
2004-05-31,130.607,4.932093451699792,26.0505,99.62470443098107,72.3004,2004
2004-06-30,34.3599,0.0,0.510406,33.84953584083673,33.5416,2004
2004-07-31,145.533,0.2505069124423951,6.20447,139.07831575665597,110.774,2004
2004-08-31,36.0357,0.0,0.29432,35.741352865396316,38.8425,2004
2004-09-30,147.89,0.24242604429909065,16.8212,130.82641114673515,117.824,2004
2004-10-31,190.243,0.25050691244239687,43.3327,146.65949968475616,111.693,2004
2004-11-30,83.6933,31.834497179985974,2.20865,49.65016713142145,105.289,2004
2004-12-31,0,0.0,0,0.0,40.9986,2004
2005-01-31,0.362949,0.0,2.28493e-17,0.362949038,8.12353,2005
2005-02-28,19.7623,0.0,1.06235e-32,19.762322291,16.7246,2005
2005-03-31,6.54616,0.0,0,6.546157094,6.54637,2005
2005-04-30,11.5421,0.0,0,11.542147062,11.5421,2005
2005-05-31,47.0974,0.2505069124423963,0.404078,46.44278334307086,38.0852,2005
2005-06-30,18.3721,0.0,3.97476e-17,18.3720969532,20.245,2005
2005-07-31,109.062,0.2505069124423951,5.69523,103.11663161778844,82.6942,2005
2005-08-31,76.81,0.0,0.506919,76.30306430767756,69.119,2005
2005-09-30,204.879,16.609421029839613,36.5496,151.72001554815571,102.085,2005
2005-10-31,442.322,276.8618924389918,34.556,130.90425402269193,97.5061,2005
2005-11-30,66.7922,5.672955369133177,1.24872,59.87051528287368,100.742,2005
2005-12-31,17.2598,0.0,0,17.259774535000002,60.2315,2005
2006-01-31,0.22,0.0,0,0.21999999999999997,9.84723,2006
2006-02-28,0,0.0,0,0.0,2.72524,2006
2006-03-31,72.25,18.596446286177855,23.6292,30.024372801082443,16.6787,2006
2006-04-30,60.66,18.330270637813403,23.6292,18.70054844944689,10.8886,2006
2006-05-31,53.69,0.25050691244239637,0.510406,52.92908726029433,43.6609,2006
2006-06-30,92.32,8.775254173258409,4.65937,78.8853790073795,60.3638,2006
2006-07-31,51.67,5.467017110083571,0.37576,45.82722252125284,33.2218,2006
2006-08-31,56.74,0.0,0,56.74,52.5995,2006
2006-09-30,153.65,32.81758559069158,13.7906,107.04182324902132,93.018,2006
2006-10-31,298.43,172.60753195352513,11.3651,114.45734617044396,76.8552,2006
2006-11-30,206.7,119.80579309135604,0.363639,86.5305678421953,116.359,2006
2006-12-31,7.83,0.0,0,7.83,61.1876,2006
2007-01-31,0,0.0,0,0.0,9.89911,2007
2007-02-28,17.48,0.0,0,17.48,13.9068,2007
2007-03-31,0,0.0,0,0.0,0.0676209,2007
2007-04-30,12.69,0.0,0,12.690000000000001,12.6339,2007
2007-05-31,49.1,0.2505069124423963,0.510406,48.339087260294335,36.4632,2007
2007-06-30,244.64,123.22581631279319,24.5273,96.88690615753441,63.7112,2007
2007-07-31,90.89,0.25050691244239687,6.00142,84.63807271694365,68.8781,2007
2007-08-31,179.9,52.756155498292145,10.1812,116.96260346674038,84.4566,2007
2007-09-30,164.85,42.658367315671626,4.84053,117.35110706884252,107.277,2007
2007-10-31,276.05,166.62712925641313,0.37576,109.04711037492328,100.515,2007
2007-11-30,44.15,0.9500039023308703,9.29092,33.90907419605829,93.9466,2007
2007-12-31,5.69,0.0,0,5.6899999999999995,39.1581,2007
2008-01-31,0,0.0,0,0.0,7.98379,2008
2008-02-29,137.9,26.652936904004367,33.4341,77.81299160875832,41.023,2008
2008-03-31,79.67,3.816521669664013,23.6292,52.22429741759628,33.6561,2008
2008-04-30,2.31,0.0,0.510406,1.7995941727367326,2.93362,2008
2008-05-31,13.88,0.0,0.510406,13.369594172736731,13.88,2008
2008-06-30,33.44,0.0,0.510406,32.92959417273673,33.252,2008
2008-07-31,103.87,5.308666893669719,0.647884,97.91344945821814,75.1533,2008
2008-08-31,139.52,4.836442249440303,0.37576,134.3077973818961,124.698,2008
2008-09-30,125.69,10.256805688181792,7.20611,108.22708035166875,100.398,2008
2008-10-31,146.96,39.800303989384815,8.57247,98.58722165566499,91.5172,2008
2008-11-30,288.51,161.73031106550184,6.15019,120.62949998867406,92.6706,2008
2008-12-31,2.77,0.0,0,2.77,81.0553,2008
2009-01-31,0.06,0.0,0,0.060000000000000005,12.1792,2009
2009-02-28,0,0.0,0,0.0,2.85571,2009
2009-03-31,0.77,0.0,0,0.77,0.77,2009
2009-04-30,0,0.0,0,0.0,1.60749e-14,2009
2009-05-31,78.34,0.25050691244239687,11.2125,66.87696653856369,43.0237,2009
2009-06-30,83.82,0.2424260442990933,3.61846,79.95911186221358,69.3597,2009
2009-07-31,27.4,0.0,0.510406,26.889594172736732,27.1463,2009
2009-08-31,120.07,0.25050691244239687,2.5494,117.27009757872706,75.9802,2009
2009-09-30,120.6,0.2424260442990933,3.71129,116.64628672529125,104.719,2009
2009-10-31,44.99,0.0,0.000155061,44.989844938657356,72.8181,2009
2009-11-30,284.26,88.30825079464452,49.6355,146.31628512757567,118.732,2009
2009-12-31,42.83,0.1372392375278909,0,42.692760762472105,86.0894,2009
2010-01-31,6.33,0.0,0.173106,6.156894185970568,21.2751,2010
2010-02-28,0,0.0,0,0.0,3.26806,2010
2010-03-31,2.73,0.0,0,2.73,2.73,2010
2010-04-30,13.95,0.0,0,13.95,13.95,2010
2010-05-31,200,126.60989193432626,22.4443,50.94578707358018,29.1057,2010
2010-06-30,111.24,28.45697505612919,0.363639,82.41938587742219,61.5748,2010
2010-07-31,169.83,42.23650341651434,0.37576,127.21773621482204,104.16,2010
2010-08-31,204.94,67.5013737705998,0.37576,137.0628658607366,124.264,2010
2010-09-30,137.43,14.164504805142155,1.34206,121.92343583002386,130.499,2010
2010-10-31,155.71,13.562219575732804,0.37576,141.7720200556036,114.538,2010
2010-11-30,254.38,168.2264482637795,0.363639,85.78991266977187,120.719,2010
2010-12-31,115.93,53.30668053485894,0.37576,62.24755909647746,89.3808,2010
2011-01-31,5.17,0.0,0,5.17,19.2528,2011
2011-02-28,10.3,0.0,0,10.3,11.495,2011
2011-03-31,0.03,0.0,0,0.03,0.122453,2011
2011-04-30,21.66,0.0,0,21.66,19.3848,2011
2011-05-31,27.91,0.0,0,27.910000000000004,25.2042,2011
2011-06-30,43.46,0.19719810089740497,0,43.2628018991026,37.4922,2011
2011-07-31,90.42,0.09204346633770716,0.188023,90.13993364383927,72.5233,2011
2011-08-31,97.62,0.2505069124423963,0.0579223,97.31157074116683,85.1509,2011
2011-09-30,59.44,0.0,0,59.44,63.0586,2011
2011-10-31,180.8,0.25050691244239687,39.0584,141.49112255407405,97.5253,2011
2011-11-30,85.67,2.0509541700020417,29.0452,54.57384005256861,95.9899,2011
2011-12-31,20.98,0.0,0,20.979999999999997,51.6024,2011
2012-01-31,50.59,0.08810178810166308,0.013122,50.48877621956355,44.6998,2012
2012-02-29,0,0.0,0,0.0,3.74426,2012
2012-03-31,2.68,0.0,0,2.6799999999999997,2.68,2012
2012-04-30,20.96,0.0,0,20.96,19.4083,2012
2012-05-31,26.84,0.0,0,26.84,24.8525,2012
2012-06-30,48.5,0.24242604429909242,4.79937,43.45820787489842,33.7289,2012
2012-07-31,131.64,0.25050691244239687,23.3815,108.00799037047251,85.6857,2012
2012-08-31,106.78,0.0,0.494903,106.28509655432725,95.3114,2012
2012-09-30,125.19,0.24242604429909242,10.6367,114.3108538249634,88.6212,2012
2012-10-31,207.99,85.60927255250571,30.2672,92.11352695834087,105.156,2012
2012-11-30,178.94,99.64437218308097,10.3909,68.90470555812269,91.7395,2012
2012-12-31,14.27,0.0,0,14.27,40.1972,2012
2013-01-31,0.01,0.0,0,0.01,11.8409,2013
2013-02-28,50.79,0.22626430801248887,10.1897,40.37405228642774,20.1832,2013
2013-03-31,2.88,0.0,6.3381e-16,2.8799999999999994,3.06041,2013
2013-04-30,23.67,0.0,0,23.67,22.6451,2013
2013-05-31,22.58,0.0,0,22.58,22.5937,2013
2013-06-30,73.55,0.2424260442990933,0.510406,72.79716812843763,62.8324,2013
2013-07-31,134.63,0.25050691244239687,13.3076,121.07184792852657,92.4371,2013
2013-08-31,145.55,0.2505069124424004,29.1129,116.1865667136376,96.1021,2013
2013-09-30,148.95,0.2424260442990933,9.63681,139.0707639013084,132.742,2013
2013-10-31,321.76,186.25081305167208,2.79075,132.71843414619585,113.162,2013
2013-11-30,59.72,0.0,0,59.72,91.2833,2013
2013-12-31,1.17,0.0,0,1.17,48.1367,2013
2014-01-31,0.34,0.0,0,0.34,8.3299,2014
2014-02-28,1.04,0.0,0,1.04,3.62328,2014
2014-03-31,0.73,0.0,0,0.7300000000000001,0.73,2014
2014-04-30,9.57,0.0,0,9.57,9.22639,2014
2014-05-31,25.73,0.0,0,25.73,25.73,2014
2014-06-30,24.88,0.0,0,24.880000000000003,23.7488,2014
2014-07-31,104.4,0.2505069124423951,8.41025,95.73924590742861,62.9193,2014
2014-08-31,83.52,0.0,0.396159,83.12384101905582,66.8242,2014
2014-09-30,76.52,0.012273486558713631,0.00545639,76.50227012335141,76.4769,2014
2014-10-31,123.82,17.30407112604576,23.5274,82.98849275015297,57.6569,2014
2014-11-30,85.83,0.2424260442990942,21.0378,64.54980558677774,80.6377,2014
2014-12-31,23.38,0.0,0,23.38,52.7811,2014
2015-01-31,1,0.0,0,1.0,9.76962,2015
2015-02-28,0,0.0,0,0.0,2.67457,2015
2015-03-31,3.33,0.0,0,3.33,3.33,2015
2015-04-30,53.52,0.2424260442990933,0.510406,52.76716812843763,41.3247,2015
2015-05-31,18.32,0.0,0.510406,17.809594172736734,18.9186,2015
2015-06-30,82.19,0.13935586547438572,0.510406,81.54023830726234,71.5729,2015
2015-07-31,38.37,0.25050691244239665,0.510406,37.60908726029434,29.6168,2015
2015-08-31,127.9,0.2505069124423951,7.22804,120.42145429883095,93.859,2015
2015-09-30,118.07,0.0,0.00965773,118.06034227096812,103.763,2015
