water_year,Rain(mm),Runoff(mm),Recharge(mm),ET_WaterBalance(mm),ET_Biological(mm)
1997,1011.94,257.598299368503,126.479,627.8608555136128,708.188
1998,1011.94,313.8218069653582,61.1162,637.000168906359,622.105
1999,575.723,0.8466258852934085,53.2896,521.5869333951438,513.039
2000,1040.09,209.44664724154381,109.269,721.3776274524994,705.78
2001,871.271,171.7838117881288,108.501,590.9858858804529,573.164
2002,641.057,30.175571845788802,65.1995,545.6822470924858,544.085
2003,769.56,30.043192265495314,98.5455,640.9713292332965,612.535
2004,836.711,37.75245654516874,109.985,688.9736139424157,683.539
2005,1020.81,299.64528266284935,78.9606,642.2027110954583,613.644
2006,1054.16,376.6504057553484,78.3232,599.1863473011166,577.406
2007,1085.44,386.71848611038575,55.7276,642.9939612413369,630.914
2008,1074.52,252.40198845984685,81.5469,740.5711203806868,698.221
2009,803.14,89.4313559456554,71.2377,642.4709477062374,613.673
2010,1372.47,514.064597357083,26.1898,832.2155968644083,815.464
2011,643.46,2.8412095621219473,68.3495,572.2692688907513,578.802
2012,914.38,186.07710552472895,79.9837,648.3191573606888,635.825
2013,985.26,187.46294327316755,65.5482,732.2488331045338,717.018
2014,559.76,17.809277569345962,53.3771,488.5736553867666,468.685
2015,748.13,26.85836279373556,63.8892,657.3824553165692,633.08
2016,606.77,10.998514984677279,74.3944,521.3770368411629,509.819
2017,708.05,1.0570172010437178,48.0978,658.8951575675933,668.244
